MDTU,plaq_ss,plaq_st
914,0.943816,1.06005
915,0.948709,1.05584
916,0.948709,1.05584
917,0.948709,1.05584
918,0.947621,1.05608
919,0.95288,1.05546
920,0.950974,1.05243
921,0.950974,1.05243
922,0.952523,1.04863
923,0.952523,1.04863
924,0.95292,1.04279
925,0.953325,1.04754
926,0.948404,1.04988
927,0.947874,1.04879
928,0.947807,1.05391
929,0.950198,1.05133
930,0.947734,1.05535
931,0.948709,1.05591
932,0.950809,1.05455
933,0.950809,1.05455
934,0.952832,1.04746
935,0.950169,1.04984
936,0.951934,1.04896
937,0.951897,1.05005
938,0.950376,1.05148
939,0.950376,1.05148
940,0.953713,1.0522
941,0.952205,1.05427
942,0.952205,1.05427
943,0.952205,1.05427
944,0.949342,1.04729
945,0.949342,1.04729
946,0.952977,1.05187
947,0.949289,1.05703
948,0.949289,1.05703
949,0.949289,1.05703
950,0.949544,1.05171
951,0.946553,1.05001
952,0.948183,1.05179
953,0.943503,1.05375
954,0.947775,1.05793
955,0.947775,1.05793
956,0.948784,1.05938
957,0.951636,1.05826
958,0.951636,1.05826
959,0.948054,1.05711
960,0.948054,1.05711
961,0.948054,1.05711
962,0.948054,1.05711
963,0.948054,1.05711
964,0.948054,1.05711
965,0.951945,1.05948
966,0.945351,1.05694
967,0.953191,1.05766
968,0.954458,1.05542
969,0.94991,1.05411
970,0.954337,1.05638
971,0.954337,1.05638
972,0.954337,1.05638
973,0.951125,1.04915
974,0.957412,1.05224
975,0.957412,1.05224
976,0.955561,1.05136
977,0.953889,1.0505
978,0.955188,1.05119
979,0.953226,1.05293
980,0.947727,1.06042
981,0.947727,1.06042
982,0.947727,1.06042
983,0.952168,1.06296
984,0.946415,1.06288
985,0.950784,1.05401
986,0.948549,1.05877
987,0.948549,1.05877
988,0.947369,1.05187
989,0.946477,1.05162
990,0.953878,1.05346
991,0.953878,1.05346
992,0.954248,1.05413
993,0.953578,1.04998
994,0.953578,1.04998
995,0.953578,1.04998
996,0.9521,1.05344
997,0.9521,1.05344
998,0.949327,1.04926
999,0.95066,1.05209
1000,0.945537,1.05549
1001,0.945537,1.05549
1002,0.945537,1.05549
1003,0.946438,1.05628
1004,0.942852,1.05265
1005,0.943577,1.05014
1006,0.943969,1.04935
1007,0.944624,1.05299
1008,0.944624,1.05299
1009,0.940676,1.05108
1010,0.940676,1.05108
1011,0.940676,1.05108
1012,0.940676,1.05108
1013,0.940676,1.05108
1014,0.940676,1.05108
1015,0.940676,1.05108
1016,0.940676,1.05108
1017,0.939571,1.0526
1018,0.944823,1.05476
1019,0.944823,1.05476
1020,0.942385,1.04995
1021,0.944364,1.04743
1022,0.93989,1.05729
1023,0.93989,1.05729
1024,0.932193,1.05604
1025,0.932193,1.05604
1026,0.935651,1.05698
1027,0.935651,1.05698
1028,0.940418,1.05308
1029,0.940418,1.05308
1030,0.938142,1.05481
1031,0.933943,1.05611
1032,0.933943,1.05611
1033,0.935665,1.05991
1034,0.938869,1.06121
1035,0.938869,1.06121
1036,0.938869,1.06121
1037,0.943921,1.05967
1038,0.943921,1.05967
1039,0.939918,1.05677
1040,0.942554,1.05493
1041,0.938822,1.05313
1042,0.938822,1.05313
1043,0.938822,1.05313
1044,0.941078,1.05535
1045,0.941078,1.05535
1046,0.942441,1.05692
1047,0.939524,1.05088
1048,0.939524,1.05088
1049,0.941674,1.04789
1050,0.941674,1.04789
1051,0.937874,1.04099
1052,0.938162,1.04122
1053,0.938162,1.04122
1054,0.935763,1.04608
1055,0.935763,1.04608
1056,0.935763,1.04608
1057,0.931324,1.04935
1058,0.931141,1.05271
1059,0.931141,1.05271
1060,0.931705,1.04805
1061,0.931216,1.04999
1062,0.937132,1.05275
1063,0.940034,1.05064
1064,0.942448,1.05585
1065,0.937464,1.04881
1066,0.937464,1.04881
1067,0.937464,1.04881
1068,0.936213,1.05313
1069,0.932946,1.05536
1070,0.933254,1.04833
1071,0.933254,1.04833
1072,0.933005,1.04448
1073,0.92784,1.04414
1074,0.925993,1.04551
1075,0.925993,1.04551
1076,0.93006,1.04584
1077,0.928649,1.03775
1078,0.928649,1.03775
1079,0.937358,1.03597
1080,0.930703,1.0363
1081,0.930703,1.0363
1082,0.93365,1.0383
1083,0.933606,1.04411
1084,0.935439,1.0395
1085,0.937904,1.03856
1086,0.934645,1.03958
1087,0.934645,1.03958
1088,0.934645,1.03958
1089,0.930283,1.0309
1090,0.933858,1.03483
1091,0.934463,1.03491
1092,0.935004,1.03293
1093,0.935004,1.03293
1094,0.939868,1.03169
1095,0.942768,1.02497
1096,0.942768,1.02497
1097,0.932242,1.02817
1098,0.92562,1.02466
1099,0.92562,1.02466
1100,0.92859,1.02891
1101,0.927285,1.02905
1102,0.927285,1.02905
1103,0.927285,1.02905
1104,0.932628,1.02805
1105,0.930207,1.02699
1106,0.933164,1.03007
1107,0.933164,1.03007
1108,0.930413,1.02563
1109,0.932976,1.02751
1110,0.932976,1.02751
1111,0.932976,1.02751
1112,0.931147,1.03193
1113,0.931147,1.03193
1114,0.925866,1.02837
1115,0.925866,1.02837
1116,0.927722,1.03624
1117,0.932206,1.0379
1118,0.932206,1.0379
1119,0.932206,1.0379
1120,0.932206,1.0379
1121,0.932206,1.0379
1122,0.927065,1.03118
1123,0.927065,1.03118
1124,0.9289,1.03232
1125,0.9289,1.03232
1126,0.926141,1.03514
1127,0.926141,1.03514
1128,0.926222,1.03683
1129,0.923936,1.03442
1130,0.92332,1.03507
1131,0.926662,1.03502
1132,0.934362,1.03797
1133,0.927788,1.03759
1134,0.923953,1.03602
1135,0.923953,1.03602
1136,0.923953,1.03602
1137,0.924017,1.03828
1138,0.923754,1.03707
1139,0.928937,1.03825
1140,0.928937,1.03825
1141,0.935906,1.03652
1142,0.934472,1.03777
1143,0.934472,1.03777
1144,0.929059,1.03666
1145,0.929059,1.03666
