MDTU,min_min,min_max,max_min,max_max5
419,-0.403449,-0.0163818,0.0669073,0.305539
420,-0.403449,-0.0163818,0.0669073,0.305539
421,-0.403449,-0.0163818,0.0669073,0.305539
422,-0.385337,0.000309837,0.0711759,0.30765
423,-0.395486,-0.0181444,0.0592722,0.310881
424,-0.40493,-0.00171355,0.0662074,0.312422
425,-0.40493,-0.00171355,0.0662074,0.312422
426,-0.392874,-0.00942715,0.0665804,0.323321
427,-0.456285,-0.0185661,0.0708142,0.308858
428,-0.414289,0.00606085,0.073953,0.325634
429,-0.414289,0.00606085,0.073953,0.325634
430,-0.455585,-0.00959922,0.0662345,0.326487
431,-0.404073,-0.0118749,0.0724622,0.305102
432,-0.404073,-0.0118749,0.0724622,0.305102
433,-0.404073,-0.0118749,0.0724622,0.305102
434,-0.396625,-0.002072,0.0758988,0.307256
435,-0.423393,-0.00741525,0.0584803,0.311147
436,-0.401959,-0.0148466,0.0764784,0.319424
437,-0.409301,-0.0110845,0.0701056,0.318511
438,-0.402472,-0.0105943,0.0665506,0.304443
439,-0.402472,-0.0105943,0.0665506,0.304443
440,-0.412126,-0.0184872,0.0698793,0.300377
441,-0.412126,-0.0184872,0.0698793,0.300377
442,-0.433529,-0.0163413,0.0606092,0.304187
443,-0.418286,-0.0240341,0.0699397,0.317015
444,-0.41823,-0.0267368,0.076065,0.299898
445,-0.413374,-0.0242762,0.0715207,0.31583
446,-0.435846,-0.0175539,0.0666623,0.32029
447,-0.506427,-0.00968163,0.069663,0.307261
448,-0.385857,-0.0208361,0.0622612,0.307219
449,-0.417806,-0.0144164,0.0714243,0.317827
450,-0.393319,-0.0190548,0.0742569,0.306609
451,-0.432598,-0.0224234,0.0695702,0.313205
452,-0.385028,-0.00697244,0.058387,0.332558
453,-0.381553,-0.0107053,0.0755662,0.322138
454,-0.409198,-0.0159164,0.0657049,0.330107
455,-0.394255,-0.00454186,0.0682907,0.312686
456,-0.4072,-0.0102595,0.0729934,0.312994
457,-0.431929,-0.0205472,0.0744229,0.309568
458,-0.441301,-0.00321549,0.0658506,0.307803
459,-0.441301,-0.00321549,0.0658506,0.307803
460,-0.441301,-0.00321549,0.0658506,0.307803
461,-0.386029,-0.0193248,0.0749967,0.316305
462,-0.403362,-0.0122321,0.0710691,0.306796
463,-0.397249,0.0045917,0.0721463,0.303386
464,-0.429088,-0.0157858,0.0732604,0.318426
465,-0.429088,-0.0157858,0.0732604,0.318426
466,-0.405767,-0.0158616,0.072324,0.30295
467,-0.405767,-0.0158616,0.072324,0.30295
468,-0.417139,-0.0151875,0.0633738,0.322698
469,-0.381239,-0.0156256,0.0727848,0.308044
470,-0.391482,-0.0204337,0.071372,0.323909
471,-0.426478,-0.0227058,0.0655415,0.304297
472,-0.426489,-0.0252586,0.0640843,0.305483
473,-0.426489,-0.0252586,0.0640843,0.305483
474,-0.402418,-0.0200281,0.0724601,0.322607
475,-0.402418,-0.0200281,0.0724601,0.322607
476,-0.397318,-0.0246976,0.0743677,0.311509
477,-0.397318,-0.0246976,0.0743677,0.311509
478,-0.397318,-0.0246976,0.0743677,0.311509
479,-0.397318,-0.0246976,0.0743677,0.311509
480,-0.410084,-0.00847497,0.0720002,0.312676
481,-0.392169,-0.0101626,0.0663453,0.298901
